"","gnis_id","Parkname","Region","State","Unit Code","Unit Name","Unit Type","Visitors","YearRaw","lon","lat","Gnis Id"
"148","2733432","Arkansas Post","MW","AR","ARPO","Arkansas Post National Memorial","National Memorial",34405,"2016",-91.3473337597439,34.0207319423128,"2733432"
"149","1262098","Mount Rushmore","MW","SD","MORU","Mount Rushmore National Memorial","National Memorial",2431231,"2016",-103.452528909847,43.8803772943369,"1262098"
"150","1377201","Guadalupe Mountains","IM","TX","GUMO","Guadalupe Mountains National Park","National Park",181839,"2016",-104.884356577208,31.9233894408517,"1377201"
"151","401309","City of Rocks","PW","ID","CIRO","City of Rocks National Reserve","National Reserve",107865,"2016",-113.71242200634,42.0699084304126,"401309"
"152","395749","Hagerman Fossil Beds","PW","ID","HAFO","Hagerman Fossil Beds National Monument","National Monument",25982,"2016",-114.954011544881,42.7755809466687,"395749"
"153","226274","John Muir","PW","CA","JOMU","John Muir National Historic Site","National Historic Site",49376,"2016",-122.132673727388,37.9826350424043,"226274"
"154","1498529","Petersburg","NE","VA","PETE","Petersburg National Battlefield","National Battlefield",191898,"2016",-77.363019103214,37.2280033255614,"1498529"
"155","2733433","President William Jefferson Clinton Birthplace Home","MW","AR","WICL","President William Jefferson Clinton Birthplace Home National Historic Site","National Historic Site",10468,"2016",-93.5963674851553,33.6676266489763,"2733433"
"156","1504974","Fort Vancouver","PW","WA","FOVA","Fort Vancouver National Historic Site","National Historic Site",1092031,"2016",-122.661652088207,45.6235658674052,"1504974"
"157","1888960","Saint-Gaudens","NE","NH","SAGA","Saint-Gaudens National Historic Site","National Historic Site",42377,"2016",-72.3740327232708,43.5004777104166,"1888960"
"158","607138","John Fitzgerald Kennedy","NE","MA","JOFI","John Fitzgerald Kennedy National Historic Site","National Historic Site",25467,"2016",-71.1232390740989,42.3469456078312,"607138"
"159","765817","Jefferson","MW","MO","JEFF","Jefferson National Expansion Memorial","National Memorial",1271855,"2016",-90.1756354750579,38.6221234177162,"765817"
"160","314296","Fort Pulaski","SE","GA","FOPU","Fort Pulaski National Monument","National Monument",344921,"2016",-80.943631706667,32.0347837830884,"314296"
"161","1888914","Eleanor Roosevelt","NE","NY","ELRO","Eleanor Roosevelt National Historic Site","National Historic Site",63480,"2016",-73.9006090250387,41.7633868273353,"1888914"
"162","1888922","Friendship Hill","NE","PA","FRHI","Friendship Hill National Historic Site","National Historic Site",37847,"2016",-79.9252833362319,39.7754635394486,"1888922"
"163","2083047","Theodore Roosevelt Birthplace","NE","NY","THRB","Theodore Roosevelt Birthplace National Historic Site","National Historic Site",6582,"2016",-73.9890141246332,40.7386013770501,"2083047"
"164","40512","Coronado","IM","AZ","CORO","Coronado National Memorial","National Memorial",136075,"2016",-110.256167899296,31.3490088782735,"40512"
"165","1027483","Wright Brothers","SE","NC","WRBR","Wright Brothers National Memorial","National Memorial",458776,"2016",-75.6702220692963,36.0162188522199,"1027483"
"166","1223739","Kings Mountain","SE","SC","KIMO","Kings Mountain National Military Park","National Military Park",263357,"2016",-81.3897905157193,35.1390140744584,"1223739"
"167","1428242","Golden Spike","IM","UT","GOSP","Golden Spike National Historic Site","National Historic Site",60027,"2016",-112.493998180363,41.6310027228718,"1428242"
"168","2733436","New Bedford Whaling","NE","MA","NEBE","New Bedford Whaling National Historical Park","National Historical Park",145500,"2016",-70.9231966641938,41.6356565076537,"2733436"
"169","970557","Sagamore Hill","NE","NY","SAHI","Sagamore Hill National Historic Site","National Historic Site",53920,"2016",-73.4966878275586,40.8855811149458,"970557"
