Incident Date,Park Name,Cause of Death,"Cause of Death Group 
(Used in the NPS Mortality Dashboard) ",Intent,Outcome,Sex,Age Range,Activity
8/8/21,Big South Fork National River and Recreation Area,Fall,Fall,Unintentional,Fatal Injury,Male,25-34,Climbing
8/8/21,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving
8/11/21,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Female,15-24,Wading
8/13/21,Anacostia Park,Homicide,Homicide,Intentional,Fatal Injury,Male,Not Reported,Homicide
8/13/21,National Capital Parks-East,Homicide,Homicide,Intentional,Fatal Injury,Male,25-34,Homicide
8/13/21,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,55-64,Driving
8/14/21,Olympic National Park,Drowning,Drowning,Unintentional,Fatal Injury,Male,45-54,Swimming
8/14/21,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,35-44,Driving
8/14/21,Suitland,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,25-34,Driving
8/15/21,Gateway National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,Not Reported,Swimming
8/16/21,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal Injury,Male,55-64,Not Reported
8/17/21,Natchez Trace Parkway,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,55-64,Driving
8/17/21,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,55-64,Driving
8/18/21,Death Valley National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,55-64,Hiking
8/20/21,Cape Cod National Seashore,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,Not Reported,Not Reported
8/22/21,Death Valley National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,45-54,Hiking
8/23/21,Upper Delaware Scenic & Recreational River,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
8/23/21,Gulf Islands National Seashore,Undetermined,Undetermined,Undetermined,Fatal Injury,Female,55-64,Not Reported
8/26/21,Lake Mead National Recreation Area,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Female,35-44,Hiking
8/27/21,Gulf Islands National Seashore,Drowning,Drowning,Unintentional,Fatal Injury,Male,55-64,Wading
8/27/21,Great Smoky Mountains National Park,Drowning,Drowning,Unintentional,Fatal Injury,Male,Not Reported,Swimming
8/28/21,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal Injury,Male,45-54,Hiking
8/28/21,Point Reyes National Seashore,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,55-64,Bicycling
8/28/21,Great Smoky Mountains National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,55-64,Driving
8/30/21,Glacier National Park,Fall,Fall,Unintentional,Fatal Injury,Female,25-34,Hiking
8/30/21,Zion National Park,Hyperthermia,Environmental,Unintentional,Fatal Injury,Male,25-34,Hiking
8/30/21,George Washington Memorial Parkway,Suicide,Suicide,Intentional,Fatal Injury,Female,25-34,Suicide
8/31/21,Yellowstone National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Female,65+,Hiking
9/1/21,Horseshoe Bend National Military Park,Fall,Fall,Unintentional,Fatal Injury,Male,65+,Not Reported
9/2/21,Lake Mead National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Male,35-44,Suicide
9/8/21,George Washington Memorial Parkway,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,15-24,Not Reported
9/9/21,Gauley River National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,35-44,Vessel Related
9/9/21,Shenandoah National Park,Suicide,Suicide,Intentional,Fatal Injury,Female,15-24,Suicide
9/9/21,Shenandoah National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,15-24,Suicide
9/10/21,Yosemite National Park,Fall,Fall,Unintentional,Fatal Injury,Male,Not Reported,Climbing
9/12/21,Suitland,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,25-34,Driving
9/12/21,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,25-34,Driving
9/13/21,Acadia National Park,Suicide,Suicide,Intentional,Fatal Injury,Female,25-34,Suicide
9/14/21,Gulf Islands National Seashore,Drowning,Drowning,Unintentional,Fatal Injury,Male,45-54,Swimming
9/15/21,Organ Pipe Cactus National Monument,Medical - Unknown,Medical - Unknown,Medical,Fatal Injury,Male,25-34,Not Reported
9/16/21,Pictured Rocks National Lakeshore,Drowning,Drowning,Unintentional,Fatal Injury,Female,65+,Vessel Related
9/16/21,Pictured Rocks National Lakeshore,Drowning,Drowning,Unintentional,Fatal Injury,Male,65+,Vessel Related
9/16/21,Suitland,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,35-44,Driving
9/16/21,Olympic National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,Not Reported,Not Reported
9/16/21,Yellowstone National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,65+,Not Reported
9/18/21,Great Smoky Mountains National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,65+,Not Reported
9/19/21,Canyonlands National Park,Fall,Fall,Unintentional,Fatal Injury,Male,35-44,Climbing
9/19/21,Lake Meredith National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Female,Not Reported,Suicide
9/20/21,Grand Teton National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Female,45-54,Hiking
9/20/21,El Malpais National Monument,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,55-64,Driving
9/21/21,Yellowstone National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,35-44,Not Reported
9/23/21,Grand Canyon National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Hiking
9/25/21,Buffalo National River,Fall,Fall,Unintentional,Fatal Injury,Not Reported,15-24,Rock Scrambeling
9/25/21,Buffalo National River,Fall,Fall,Unintentional,Fatal Injury,Male,15-24,Hiking
9/29/21,Saguaro National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Female,15-24,Not Reported
9/30/21,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,45-54,Driving
10/1/21,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal Injury,Male,55-64,Swimming
10/3/21,Ozark National Scenic Riverways,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,55-64,Driving
10/3/21,Minute Man National Historical Park,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
10/3/21,Ozark National Scenic Riverways,Suicide,Suicide,Intentional,Fatal Injury,Male,45-54,Suicide
10/4/21,Cape Lookout National Seashore,Vessel Incident,Other Transportation,Unintentional,Fatal Injury,Female,25-34,Vessel Related
10/9/21,Blue Ridge Parkway,Homicide,Homicide,Intentional,Fatal Injury,Male,25-34,Homicide
10/9/21,Gauley River National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving
10/12/21,Lake Mead National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,55-64,Not Reported
10/12/21,Lake Mead National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal Injury,Female,45-54,Not Reported
10/14/21,Chickamauga & Chattanooga National Military Park,Suicide,Suicide,Intentional,Fatal Injury,Male,45-54,Suicide
10/15/21,Great Smoky Mountains National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Female,55-64,Sleeping
10/18/21,Lake Mead National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Male,65+,Suicide
10/20/21,Little River Canyon National Preserve,Homicide,Homicide,Intentional,Fatal Injury,Female,35-44,Homicide
10/20/21,George Washington Memorial Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving
10/20/21,Lake Mead National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Male,65+,Suicide
10/21/21,Grand Teton National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
10/21/21,Anacostia Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Female,65+,Not Reported
10/22/21,George Washington Memorial Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,55-64,Driving
10/22/21,Death Valley National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,25-34,Driving
10/25/21,National Capital Parks-East,Medical - Unknown,Medical - Unknown,Medical,Fatal Injury,Male,65+,Not Reported
10/25/21,Gulf Islands National Seashore,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
10/25/21,Fort Dupont Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
10/26/21,Redwood National and State Parks,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Not Reported,25-34,Driving
10/29/21,Lowell National Historical Park,Poisoning - Drugs,Poisoning,Unintentional,Fatal Injury,Female,Not Reported,Other
10/30/21,Shenandoah National Park,Suicide,Suicide,Intentional,Fatal Injury,Female,55-64,Suicide
11/8/21,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,25-34,Driving
11/8/21,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,25-34,Driving
11/8/21,Lincoln Memorial,Suicide,Suicide,Intentional,Fatal Injury,Not Reported,Not Reported,Suicide
11/8/21,National Mall & Memorial Parks,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
11/15/21,Black Canyon Of The Gunnison National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,45-54,Suicide
11/17/21,Great Smoky Mountains National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,15-24,Driving
11/22/21,Virgin Islands National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,25-34,Driving
11/22/21,Blue Ridge Parkway,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
11/24/21,Baltimore-Washington Parkway,Homicide,Homicide,Intentional,Fatal Injury,Female,65+,Homicide
11/27/21,Zion National Park,Hypothermia,Environmental,Unintentional,Fatal Injury,Male,25-34,Canyoneering
11/27/21,George Washington Memorial Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,55-64,Walking
11/28/21,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal Injury,Male,25-34,Undetermined
11/29/21,Lake Mead National Recreation Area,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Sleeping
11/30/21,Blue Ridge Parkway,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,65+,Driving
12/1/21,Big South Fork National River and Recreation Area,Poisoning - Drugs,Poisoning,Unintentional,Fatal Injury,Female,25-34,Not Reported
12/2/21,Virgin Islands National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Snorkeling
12/5/21,Colorado National Monument,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving
12/6/21,Buffalo National River,Fall,Fall,Unintentional,Fatal Injury,Female,65+,Hiking
12/9/21,Assateague Island National Seashore,Suicide,Suicide,Intentional,Fatal Injury,Male,65+,Suicide
12/13/21,Gateway National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal Injury,Female,Not Reported,Not Reported
12/14/21,Valley Forge National Historical Park,Suicide,Suicide,Intentional,Fatal Injury,Female,15-24,Suicide
12/15/21,National Capital Parks-East,Homicide,Homicide,Intentional,Fatal Injury,Male,25-34,Homicide
12/15/21,New River Gorge National Park & Preserve,Suicide,Suicide,Intentional,Fatal Injury,Male,35-44,Suicide
12/15/21,Fort Dupont Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
12/16/21,Lake Mead National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Male,45-54,Suicide
12/20/21,Natchez Trace Parkway,Poisoning - Drugs,Poisoning,Unintentional,Fatal Injury,Male,25-34,Camping
12/20/21,George Washington Memorial Parkway,Undetermined,Undetermined,Unintentional,Fatal Injury,Male,55-64,Sleeping
12/20/21,Delaware Water Gap National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,65+,Not Reported
12/21/21,Baltimore-Washington Parkway,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Female,45-54,Driving
12/25/21,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,55-64,Driving
12/25/21,Olympic National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,Not Reported,Suicide
12/26/21,National Mall & Memorial Parks,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Female,55-64,Walking
12/26/21,Thomas Jefferson Memorial,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
12/29/21,Colonial National Historical Park,Suicide,Suicide,Intentional,Fatal Injury,Male,65+,Suicide
12/30/21,Wright Brothers National Memorial,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Female,15-24,Other
1/3/22,Hawaii Volcanoes National Park,Fall,Fall,Unintentional,Fatal Injury,Male,65+,Hiking
1/6/22,Petroglyph National Monument,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,65+,Not Reported
1/8/22,Death Valley National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,65+,Driving
1/9/22,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,35-44,Driving
1/11/22,Golden Gate National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Not Reported,Not Reported,Suicide
1/13/22,Death Valley National Park,Homicide,Homicide,Intentional,Fatal Injury,Male,Not Reported,Homicide
1/13/22,Death Valley National Park,Suicide,Suicide,Intentional,Fatal Injury,Female,Not Reported,Suicide
1/17/22,Joshua Tree National Park,Fall,Fall,Unintentional,Fatal Injury,Male,35-44,Not Reported
1/18/22,Golden Gate National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Male,15-24,Suicide
1/21/22,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving
1/24/22,Grand Canyon National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,55-64,Suicide
1/25/22,George Washington Memorial Parkway,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
1/26/22,Lake Mead National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,55-64,Not Reported
1/27/22,Colonial National Historical Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Not Reported,Not Reported,Driving
1/28/22,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving
2/2/22,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,25-34,Driving
2/2/22,Grand Canyon National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,25-34,Driving
2/2/22,Rocky Mountain National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Female,35-44,Not Reported
2/2/22,Everglades National Park,Vessel Incident,Other Transportation,Unintentional,Fatal Injury,Male,Not Reported,Vessel Related
2/5/22,Yosemite National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,55-64,Hiking
2/5/22,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving
2/7/22,Golden Gate National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,25-34,Fishing
2/8/22,Death Valley National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Not Reported,Not Reported,Driving
2/9/22,Death Valley National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,25-34,Driving
2/10/22,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Not Reported,65+,Walking
2/10/22,Death Valley National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving
2/11/22,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,45-54,Driving
2/11/22,Padre Island National Seashore,Suicide,Suicide,Intentional,Fatal Injury,Female,35-44,Suicide
2/11/22,Blue Ridge Parkway,Suicide,Suicide,Intentional,Fatal Injury,Male,35-44,Suicide
2/13/22,Rocky Mountain National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,45-54,Hiking
2/13/22,Grand Teton National Park,Skiing Incident,Other Transportation,Unintentional,Fatal Injury,Male,25-34,Skiing
2/14/22,Glen Canyon National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
2/16/22,Missouri National Recreational River,Suicide,Suicide,Intentional,Fatal Injury,Male,55-64,Suicide
2/16/22,George Washington Memorial Parkway,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
2/16/22,National Mall & Memorial Parks,Undetermined,Undetermined,Undetermined,Fatal Injury,Female,Not Reported,Not Reported
2/18/22,Padre Island National Seashore,Undetermined,Undetermined,Undetermined,Fatal Injury,Female,25-34,Illegal Activity
2/20/22,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,35-44,Driving
2/21/22,Indiana Dunes National Park,Fall,Fall,Unintentional,Fatal Injury,Male,15-24,Walking
2/21/22,Lake Mead National Recreation Area,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,15-24,Sleeping
2/23/22,Hawaii Volcanoes National Park,Medical - Unknown,Medical - Unknown,Medical,Fatal Injury,Female,65+,Not Reported
2/24/22,Great Smoky Mountains National Park,Drowning,Drowning,Unintentional,Fatal Injury,Female,25-34,Vessel Related
2/26/22,Lake Mead National Recreation Area,Medical - Unknown,Medical - Unknown,Medical,Fatal Injury,Not Reported,65+,Not Reported
2/26/22,Great Smoky Mountains National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,35-44,Suicide
2/28/22,Great Smoky Mountains National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,65+,Suicide
2/28/22,Gulf Islands National Seashore,Suicide,Suicide,Intentional,Fatal Injury,Male,55-64,Suicide
3/1/22,Buffalo National River,Suicide,Suicide,Intentional,Fatal Injury,Female,35-44,Suicide
3/1/22,Gauley River National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,35-44,Not Reported
3/2/22,New River Gorge National Park & Preserve,Suicide,Suicide,Intentional,Fatal Injury,Male,15-24,Suicide
3/7/22,Everglades National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,55-64,Vessel Related
3/7/22,Cuyahoga Valley National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,25-34,Not Reported
3/8/22,Acadia National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Bicycling
3/8/22,Mammoth Cave National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,45-54,Walking
3/8/22,Chesapeake & Ohio Canal National Historical Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
3/9/22,New River Gorge National Park & Preserve,Suicide,Suicide,Intentional,Fatal Injury,Male,45-54,Suicide
3/9/22,Golden Gate National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Male,Not Reported,Suicide
3/11/22,Blue Ridge Parkway,Suicide,Suicide,Intentional,Fatal Injury,Female,25-34,Suicide
3/12/22,Grand Canyon National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
3/13/22,Suitland,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving
3/13/22,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,35-44,Driving
3/14/22,Bryce Canyon National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,55-64,Hiking
3/15/22,Cuyahoga Valley National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
3/17/22,Yosemite National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Female,55-64,Sleeping
3/18/22,Death Valley National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Not Reported
3/18/22,Lake Mead National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Female,55-64,Suicide
3/19/22,Rock Creek Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
3/20/22,Clara Barton National Historic Site,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,15-24,Driving
3/20/22,Clara Barton National Historic Site,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Not Reported,65+,Walking
3/21/22,Chattahoochee River National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,55-64,Vessel Related
3/23/22,Bandelier National Monument,Fall,Fall,Unintentional,Fatal Injury,Female,45-54,Other
3/23/22,Curecanti National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,15-24,Not Reported
3/24/22,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Female,65+,Vessel Related
3/24/22,Grand Canyon National Park,Drowning,Drowning,Unintentional,Fatal Injury,Female,55-64,Vessel Related
3/24/22,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,25-34,Driving
3/24/22,Piscataway Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
3/27/22,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,35-44,Driving
3/27/22,Chesapeake & Ohio Canal National Historical Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
3/28/22,Big Bend National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Female,45-54,Hiking
3/28/22,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,Not Reported,Driving
3/28/22,Canaveral National Seashore,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,65+,Not Reported
3/29/22,Natchez Trace Parkway,Suicide,Suicide,Intentional,Fatal Injury,Male,45-54,Suicide
3/29/22,Gateway National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Female,45-54,Suicide
4/2/22,Everglades National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,25-34,Not Reported
4/4/22,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal Injury,Female,25-34,Hiking
4/4/22,Grand Canyon National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,35-44,Suicide
4/5/22,Upper Delaware Scenic & Recreational River,Fall,Fall,Unintentional,Fatal Injury,Not Reported,Not Reported,Not Reported
4/5/22,National Mall & Memorial Parks,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
4/7/22,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,15-24,Driving
4/7/22,Natchez Trace Parkway,Suicide,Suicide,Intentional,Fatal Injury,Not Reported,15-24,Suicide
4/7/22,Dry Tortugas National Park,Undetermined,Undetermined,Unintentional,Fatal Injury,Female,65+,Snorkeling
4/8/22,George Washington Memorial Parkway,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
4/10/22,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,25-34,Driving
4/11/22,Manassas National Battlefield Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,Not Reported,Driving
4/13/22,Rock Creek Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
4/17/22,Suitland,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Not Reported,65+,Walking
4/19/22,Morristown National Historical Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Hiking
4/19/22,Hawaii Volcanoes National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,15-24,Driving
4/24/22,Big Thicket National Preserve,Homicide,Homicide,Intentional,Fatal Injury,Not Reported,Not Reported,Homicide
4/27/22,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,45-54,Driving
4/30/22,Colorado National Monument,Fall,Fall,Unintentional,Fatal Injury,Male,65+,Climbing
4/30/22,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,15-24,Driving
4/30/22,New River Gorge National Park & Preserve,Suicide,Suicide,Intentional,Fatal Injury,Male,25-34,Suicide
5/1/22,Gulf Islands National Seashore,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Swimming
5/1/22,Lake Mead National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
5/2/22,Golden Gate National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Male,Not Reported,Suicide
5/3/22,Sequoia & Kings Canyon National Parks,Fall,Fall,Unintentional,Fatal Injury,Male,65+,Photographing
5/4/22,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal Injury,Not Reported,Not Reported,Climbing
5/6/22,Golden Gate National Recreation Area,Aircraft incident,Other Transportation,Unintentional,Fatal Injury,Female,55-64,Flying
5/6/22,Golden Gate National Recreation Area,Aircraft incident,Other Transportation,Unintentional,Fatal Injury,Male,55-64,Flying
5/7/22,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,35-44,Swimming
5/7/22,Buffalo National River,Fall,Fall,Unintentional,Fatal Injury,Male,45-54,Hiking
5/7/22,Glen Canyon National Recreation Area,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Other
5/8/22,Mojave National Preserve,Homicide,Homicide,Intentional,Fatal Injury,Female,0-14,Homicide
5/8/22,Mojave National Preserve,Suicide,Suicide,Intentional,Fatal Injury,Male,Not Reported,Suicide
5/8/22,Golden Gate National Recreation Area,Suicide,Suicide,Intentional,Fatal Injury,Male,15-24,Suicide
5/8/22,Cuyahoga Valley National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,15-24,Suicide
5/9/22,Great Smoky Mountains National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
5/12/22,Canyonlands National Park,Suicide,Suicide,Intentional,Fatal Injury,Male,55-64,Suicide
5/16/22,Buffalo National River,Drowning,Drowning,Unintentional,Fatal Injury,Male,55-64,Vessel Related
5/17/22,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal Injury,Male,35-44,Hiking
