Incident Date,Park Name,Cause of Death,"Cause of Death Group 
(Used in the NPS Mortality Dashboard) ",Intent,Outcome,Sex,Age Range,Activity
8/21/18,Curecanti National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,55-64,Driving 
8/21/18,Curecanti National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,55-64,Driving 
8/22/18,Assateague Island National Seashore,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Other
8/22/18,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving 
8/23/18,Padre Island National Seashore,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,45-54,Driving 
8/24/18,Yosemite National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,45-54,Driving 
8/25/18,New River Gorge National River,Suicide,Suicide,Intentional,Fatal injury,Male,15-24,Suicide
8/26/18,Rocky Mountain National Park,Fall,Fall,Unintentional,Fatal Injury,Male,55-64,Hiking
8/27/18,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,Not Reported,Swimming
8/31/18,Saguaro National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
9/1/18,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,45-54,Swimming
9/1/18,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,15-24,Driving 
9/1/18,Blue Ridge Parkway,Suicide,Suicide,Intentional,Fatal injury,Male,35-44,Suicide
9/2/18,Lake Mead National Recreation Area,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,45-54,Swimming
9/3/18,Suitland,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,35-44,Bicycling
9/3/18,Suitland,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,25-34,Walking
