"","Parkname","gnis_id","Count","TotalValue","lon","lat","Gnis Id"
"258","Prince William Forest Park","1472799",10,3336874,-77.3874215028253,38.5858482682947,"1472799"
"259","Pu'uhonua o Honaunau","358732",10,4213687,-155.899692168936,19.4090348589751,"358732"
"260","Pu'ukohola Heiau","1877550",10,1232658,-155.821177422066,20.0277253239675,"1877550"
"261","Rainbow Bridge","23944",10,843982,-110.965520987197,37.0778933772107,"23944"
"262","Richmond","1473199",10,1538714,-77.2823996650893,37.5780865762389,"1473199"
"263","River Raisin","2733434",6,511111,-83.3761836132317,41.9129722921406,"2733434"
"264","Rocky Mountain","204948",10,32936870,-105.69779081906,40.3559036305193,"204948"
"265","Roger Williams","1904107",10,526604,-71.4105673292846,41.8299040667302,"1904107"
"266","Rosie the Riveter/World War II Home Front","2026588",4,197850,-122.366548278874,37.9086732850779,"2026588"
"267","Ross Lake","1528419",10,6100307,-121.172798250749,48.7059004083425,"1528419"
"268","Russell Cave","126026",10,257736,-85.8185911645892,34.9708459455395,"126026"
"269","Sagamore Hill","970557",10,410056,-73.4966878275586,40.8855811149458,"970557"
"270","Saguaro","10683",10,6910498,-110.607915905781,32.178731259307,"10683"
"271","Saint Croix","1888958",10,4636312,-91.5784917538564,45.9802235948738,"1888958"
"272","Saint Croix Island","581971",4,48711,-67.1336359374449,45.1285976792776,"581971"
"273","Saint Paul's Church","1888959",10,159841,-73.8257741666661,40.8928434139302,"1888959"
"274","Saint-Gaudens","1888960",10,348008,-72.3740327232708,43.5004777104166,"1888960"
"275","Salem Maritime","1888961",10,6190015,-70.8868387724325,42.5196076811197,"1888961"
"276","Salinas Pueblo Mission","936877",10,311570,-106.08980950557,34.2594295251673,"936877"
"277","Salt River Bay","1993989",10,48559,-64.7551913239282,17.7790887547006,"1993989"
"278","San Antonio Missions","1377039",10,11165005,-98.4546751811763,29.3327357607912,"1377039"
"279","San Francisco Maritime","1877542",10,41685689,-122.424437983027,37.8100715267287,"1877542"
"280","San Juan Island","1534055",10,2659345,-123.004995259694,48.4621201394536,"1534055"
"281","Sand Creek Massacre","2127375",7,37313,-102.516963562006,38.5641483064803,"2127375"
"282","Santa Monica Mountains","277263",10,6357611,-118.720191889331,34.0837756783587,"277263"
"283","Saratoga","964487",10,752313,-73.6314333356692,42.9952161565227,"964487"
"284","Saugus Iron Works","600017",10,100667,-71.0076539831892,42.4683192975597,"600017"
"285","Scotts Bluff","833315",10,1218744,-103.707253070697,41.8347711570994,"833315"
"286","Sequoia","266000",10,10291427,-118.575213567817,36.5078579178692,"266000"
"287","Sitka","1417085",10,2085014,-135.315534894904,57.0471434744439,"1417085"
"288","Springfield Armory","1888963",10,181336,-72.5811266636158,42.1083129692409,"1888963"
"289","Statue Of Liberty","880864",10,36240662,-74.0411335038782,40.6983263653295,"880864"
"290","Sunset Crater Volcano","34968",10,1754551,-111.510387105426,35.3711486325527,"34968"
"291","Tallgrass Prairie","1888965",10,218486,-96.573823757505,38.4513515778614,"1888965"
"292","Thaddeus Kosciuszko","1888966",10,26002,-75.1473222182523,39.9434611860423,"1888966"
"293","Theodore Roosevelt","1033824",10,5826613,-103.459261626542,46.9536284106367,"1033824"
"294","Theodore Roosevelt Birthplace","2083047",10,138582,-73.9890141246332,40.7386013770501,"2083047"
"295","Theodore Roosevelt Inaugural","2035603",10,175507,-78.8724872652825,42.9014762836355,"2035603"
"296","Theodore Roosevelt Island","2733420",10,1397287,-77.0624214827193,38.8958494061089,"2733420"
"297","Thomas Jefferson Memorial","530557",10,25727925,-77.0363280176902,38.8810220880921,"530557"
"298","Thomas Stone","1888967",10,63935,-77.0378152729138,38.5293521438023,"1888967"
"299","Timpanogos Cave","1446610",10,1095192,-111.709406027085,40.4404032042525,"1446610"
"300","Tonto","35382",10,497628,-111.113573537932,33.6484346449691,"35382"
"301","Tumacacori","35519",10,395389,-111.047773261563,31.5728378094346,"35519"
"302","Tuskegee Airmen","2492338",10,321635,-85.679837718778,32.4553928244713,"2492338"
"303","Tuskegee Institute","158362",10,305350,-85.7044173184965,32.4296036919983,"158362"
"304","Tuzigoot","35601",10,978941,-112.027918048323,34.7729690694868,"35601"
"305","Ulysses S. Grant","2733425",10,412074,-90.3516987755,38.551830857803,"2733425"
"306","Upper Delaware","1888970",10,2590303,-75.0097166380366,41.5169688027039,"1888970"
"307","Valley Forge","1211947",10,16913026,-75.4446256909116,40.0989079380665,"1211947"
"308","Vanderbilt Mansion","968452",10,3911064,-73.9419471575229,41.7966162001896,"968452"
"309","Vietnam Veterans Memorial","531832",10,44758020,-77.0476596518255,38.8909707506762,"531832"
"310","Virgin Islands","1614406",10,4590741,-64.7419477411078,18.3427982397416,"1614406"
"311","Voyageurs","660491",10,2263355,-92.8374067410984,48.483439771094,"660491"
"312","Waco Mammoth","2775865",2,90061,-97.1760689847456,31.6046643690852,"2775865"
"313","Walnut Canyon","35848",10,1284885,-111.495041407064,35.1612304706626,"35848"
"314","War in the Pacific","1828962",10,2969846,144.65510931034,13.3900179530798,"1828962"
"315","Washington Monument","531850",10,4166329,-77.0354681488888,38.8886596046647,"531850"
"316","Washita Battlefield","1946144",10,119195,-99.704470140959,35.6208539599851,"1946144"
"317","Weir Farm","1888972",10,256880,-73.4564884780686,41.2567665765908,"1888972"
"318","Whiskeytown-Shasta-Trinity","277264",10,8023592,-122.602279329189,40.6136045554672,"277264"
"319","White House","2733430",10,5714959,-77.0365558557396,38.8970477853158,"2733430"
